2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
10001,Aarons Pass,33,934,NSW,1011
10002,Abbotsbury,4200,1028,NSW,2978
10003,Abbotsford (NSW),5431,1121,NSW,4087
10004,Abercrombie,1127,1006,NSW,2455
10005,Abercrombie River,21,1001,NSW,2297
10006,Aberdare,2542,831,NSW,68
10007,Aberdeen (NSW),2051,848,NSW,108
10008,Aberfoyle,121,1042,NSW,3254
10009,Aberglasslyn,6552,932,NSW,989
10010,Abermain,2544,842,NSW,91
10011,Abernethy,317,871,NSW,221
10012,Abington (NSW),29,1077,NSW,3773
10013,Acacia Creek,30,967,NSW,1585
10014,Acacia Gardens,3668,1054,NSW,3475
10015,Adaminaby,339,931,NSW,977
10016,Adamstown,6335,1042,NSW,3253
10017,Adamstown Heights,5621,1073,NSW,3744
10018,Adelong,938,890,NSW,361
10019,Adjungbilly,101,1066,NSW,3632
10020,Afterlee,32,976,NSW,1753
10021,Agnes Banks,996,981,NSW,1876
10022,Airds,3265,829,NSW,62
10023,Akolele,165,921,NSW,786
10024,Albert,77,1130,NSW,4124
10025,Albion Park,13826,930,NSW,942
10026,Albion Park Rail,6920,872,NSW,227
10027,Albury,4955,1049,NSW,3379
10028,Aldavilla,1443,890,NSW,360
10029,Alectown,151,1029,NSW,2998
10030,Alexandria,9649,1181,NSW,4258
10031,Alfords Point,3131,1066,NSW,3635
10032,Alfredtown,80,994,NSW,2156
10033,Alice,4,947,NSW,1226
10034,Alison (Central Coast - NSW),85,1023,NSW,2862
10035,Alison (Dungog - NSW),99,1049,NSW,3364
10036,Allambie Heights,7317,1102,NSW,3983
10037,Allandale (NSW),68,947,NSW,1242
10038,Allawah,5351,1046,NSW,3321
10039,Alleena,60,1032,NSW,3065
10040,Allgomera,139,937,NSW,1060
10041,Allworth,190,799,NSW,13
10042,Allynbrook,54,1010,NSW,2539
10043,Alma Park,58,1019,NSW,2799
10044,Alpine,141,1021,NSW,2830
10045,Alstonvale,431,1079,NSW,3786
10046,Alstonville,5912,980,NSW,1870
10047,Alumy Creek,86,984,NSW,1943
10048,Amaroo (NSW),44,1018,NSW,2771
10049,Ambarvale,7254,879,NSW,277
10050,Amosfield,40,1001,NSW,2315
10051,Anabranch North,6,1016,NSW,2723
10052,Anabranch South,41,1016,NSW,2721
10053,Anambah,64,1004,NSW,2400
10054,Ando,49,938,NSW,1074
10055,Anembo,72,1014,NSW,2671
10056,Angledale,167,986,NSW,2006
10057,Angledool,34,1046,NSW,3318
10058,Anglers Reach,78,1003,NSW,2363
10059,Angourie,192,1018,NSW,2781
10060,Angus,384,922,NSW,797
10061,Anna Bay,4221,930,NSW,949
10062,Annandale (NSW),9487,1178,NSW,4250
10063,Annangrove,1472,1024,NSW,2886
10064,Appin (NSW),3213,958,NSW,1427
10065,Apple Tree Flat,46,995,NSW,2186
10066,Appleby,35,1000,NSW,2289
10067,Appletree Flat,16,882,NSW,295
10068,Apsley (NSW),116,990,NSW,2089
10069,Arable,21,1126,NSW,4102
10070,Arakoon,445,991,NSW,2101
10071,Araluen (NSW),209,1051,NSW,3420
10072,Aratula (NSW),4,999,NSW,2270
10073,Arcadia (NSW),1475,1102,NSW,3985
10074,Arcadia Vale,1431,941,NSW,1126
10075,Ardglen,50,907,NSW,554
10076,Arding,182,1052,NSW,3436
10077,Ardlethan,472,878,NSW,264
10078,Argalong,16,1002,NSW,2334
10079,Argenton,1352,865,NSW,180
10080,Argents Hill,207,958,NSW,1444
10081,Argoon,16,1050,NSW,3390
10082,Ariah Park,439,941,NSW,1111
10083,Arkell,36,1001,NSW,2295
10084,Arkstone,24,1032,NSW,3069
10085,Armatree,164,1055,NSW,3490
10086,Armidale,23967,1018,NSW,2770
10087,Arncliffe,12023,1048,NSW,3356
10089,Arrawarra,591,838,NSW,77
10090,Arrawarra Headland,615,1000,NSW,2273
10091,Artarmon,9417,1160,NSW,4208
10092,Arthurville,47,1033,NSW,3098
10093,Arumpo,40,1008,NSW,2515
10094,Ashbury,3353,1103,NSW,3992
10095,Ashby (NSW),316,962,NSW,1503
10096,Ashby Heights,292,953,NSW,1355
10097,Ashby Island,18,962,NSW,1504
10098,Ashcroft,3634,838,NSW,79
10099,Ashfield (NSW),23012,1100,NSW,3963
10100,Ashford (NSW),659,833,NSW,70
10101,Ashley,351,936,NSW,1043
10102,Ashmont,3747,799,NSW,14
10103,Ashtonfield,4589,979,NSW,1835
10104,Asquith,6160,1119,NSW,4079
10105,Atholwood,68,944,NSW,1175
10106,Attunga,542,893,NSW,388
10107,Auburn (NSW),39333,957,NSW,1421
10108,Auburn Vale,127,977,NSW,1788
10109,Austinmer,2725,1137,NSW,4146
10110,Austral,6847,1008,NSW,2517
10111,Austral Eden,145,921,NSW,774
10112,Avalon Beach,10379,1113,NSW,4053
10113,Avisford,45,925,NSW,851
10114,Avoca (NSW),208,1085,NSW,3834
10115,Avoca Beach,4708,1092,NSW,3903
10117,Avondale (NSW),1695,921,NSW,780
10118,Avonside,157,1036,NSW,3144
10119,Awaba,430,919,NSW,752
10120,Aylmerton,195,982,NSW,1897
10121,Baan Baa,166,985,NSW,1963
10122,Babinda (NSW),14,1008,NSW,2505
10123,Babyl Creek,4,931,NSW,971
10124,Back Creek (Bland - NSW),54,1006,NSW,2465
10125,Back Creek (Gwydir - NSW),20,1031,NSW,3060
10126,Back Creek (Mid-Coast - NSW),20,929,NSW,924
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),7,972,NSW,1688
10128,Back Creek (Tenterfield - NSW),4,1011,NSW,2567
10129,Back Creek (Tweed - NSW),27,965,NSW,1560
10130,Back Forest,91,1055,NSW,3482
10131,Backmede,153,933,NSW,1006
10132,Backwater,19,1048,NSW,3347
10133,Badgerys Creek,168,1015,NSW,2682
10134,Badja,9,1070,NSW,3696
10135,Baerami,93,943,NSW,1162
10136,Baerami Creek,27,943,NSW,1163
10137,Bagnoo,43,950,NSW,1285
10138,Bago,45,931,NSW,979
10139,Bagotville,60,895,NSW,403
10140,Bakers Creek (Mid-Coast - NSW),41,982,NSW,1899
10141,Bakers Creek (Nambucca Valley - NSW),24,862,NSW,166
10142,Bakers Creek (Uralla - NSW),13,984,NSW,1940
10143,Bakers Swamp,60,1018,NSW,2777
10144,Balaclava (NSW),574,977,NSW,1804
10145,Balala,122,984,NSW,1939
10146,Balcolyn,1002,933,NSW,1008
10147,Bald Blair,53,1048,NSW,3348
10148,Bald Hills (NSW),321,977,NSW,1782
10149,Bald Nob,20,1012,NSW,2608
10150,Bald Ridge,17,923,NSW,822
10151,Baldersleigh,55,1082,NSW,3816
10152,Baldry,67,1071,NSW,3715
10153,Balfours Peak,45,1025,NSW,2911
10154,Balgowlah,8068,1153,NSW,4194
10155,Balgowlah Heights,3546,1188,NSW,4274
10156,Balgownie,5722,1040,NSW,3190
10157,Balickera,18,950,NSW,1278
10158,Balladoran,140,1001,NSW,2307
10159,Ballalaba,29,1051,NSW,3402
10160,Balldale,168,988,NSW,2037
10161,Ballengarra,97,989,NSW,2053
10162,Ballimore,240,959,NSW,1466
10163,Ballina,9735,929,NSW,923
10164,Ballyroe,3,923,NSW,823
10165,Balmain,10454,1180,NSW,4257
10166,Balmain East,1900,1191,NSW,4287
10167,Balmoral (Lake Macquarie - NSW),730,969,NSW,1632
10168,Balmoral (Wingecarribee - NSW),469,938,NSW,1082
10169,Balranald,1240,904,NSW,517
10170,Bamarang,35,1005,NSW,2452
10172,Bandon Grove,135,1022,NSW,2847
10173,Bangadang,11,951,NSW,1311
10174,Bangalee (NSW),818,1030,NSW,3024
10175,Bangalow,2752,1100,NSW,3961
10176,Bangheet,37,1086,NSW,3846
10177,Bango,122,1082,NSW,3814
10178,Bangor (NSW),5536,1056,NSW,3500
10179,Banksia,3277,1018,NSW,2764
10180,Banksmeadow,508,1153,NSW,4193
10181,Bankstown,34933,978,NSW,1826
10183,Bannaby,47,1020,NSW,2810
10184,Bannister (NSW),141,1025,NSW,2892
10185,Banoon,19,1012,NSW,2620
10186,Banora Point,16460,935,NSW,1036
10187,Banyabba,31,852,NSW,122
10188,Bar Beach,1292,1107,NSW,4017
10189,Bar Point,122,970,NSW,1645
10190,Bara,19,909,NSW,572
10191,Baradine,783,882,NSW,290
10192,Barangaroo,220,1189,NSW,4277
10194,Barden Ridge,4129,1050,NSW,3393
10195,Bardia,5747,1060,NSW,3551
10196,Bardwell Park,2320,1095,NSW,3918
10197,Bardwell Valley,2344,1069,NSW,3679
10198,Barellan,459,921,NSW,779
10199,Bargo,4516,917,NSW,715
10200,Barham,1569,910,NSW,587
10202,Barkers Vale,196,1017,NSW,2743
10203,Barmedman,404,957,NSW,1414
10205,Barnsley,1735,859,NSW,159
10206,Barooga,1888,925,NSW,860
10207,Barraba,1329,880,NSW,281
10208,Barrack Heights,6003,879,NSW,275
10209,Barrack Point,725,984,NSW,1959
10210,Barraganyatti,150,990,NSW,2078
10211,Barragga Bay,91,1055,NSW,3479
10212,Barratta (NSW),12,1038,NSW,3167
10214,Barrengarry,214,1067,NSW,3665
10215,Barretts Creek,12,985,NSW,1973
10216,Barringella,30,1005,NSW,2448
10217,Barrington (NSW),394,981,NSW,1873
10219,Barry (Blayney - NSW),153,1002,NSW,2352
10221,Barwang,139,1019,NSW,2802
10222,Baryulgil,20,947,NSW,1222
10223,Basin View,1583,905,NSW,531
10224,Bass Hill,10230,957,NSW,1411
10225,Bassendean (NSW),5,1018,NSW,2765
10226,Batar Creek,93,942,NSW,1131
10227,Bateau Bay,12516,959,NSW,1447
10228,Batehaven,1911,903,NSW,508
10229,Batemans Bay,1573,858,NSW,151
10230,Bathampton,40,1028,NSW,2974
10231,Bathurst,7001,977,NSW,1781
10232,Batlow,1270,863,NSW,176
10233,Baulkham Hills,37415,1101,NSW,3969
10234,Baw Baw (NSW),271,1001,NSW,2310
10235,Bawley Point,844,1027,NSW,2958
10237,Bayview (NSW),3807,1110,NSW,4029
10238,Beacon Hill,7814,1078,NSW,3782
10239,Beaconsfield (NSW),1172,1174,NSW,4239
10240,Bean Creek,56,971,NSW,1659
10241,Bearbong,72,1044,NSW,3289
10242,Beaumont (NSW),117,1120,NSW,4086
10243,Beaumont Hills,9041,1111,NSW,4038
10244,Beckom,123,986,NSW,2004
10245,Bective,194,1002,NSW,2342
10246,Bectric,53,1059,NSW,3527
10247,Bedgerabong,127,989,NSW,2051
10248,Beechwood,914,920,NSW,766
10249,Beecroft,10291,1162,NSW,4213
10251,Beelbangera,358,925,NSW,845
10252,Beemunnel,34,1004,NSW,2416
10253,Bega,5013,897,NSW,428
10254,Beggan Beggan,128,1029,NSW,2992
10255,Belanglo,22,982,NSW,1909
10256,Belbora,123,923,NSW,820
10257,Belfield,6555,1029,NSW,3008
10258,Belford,176,996,NSW,2202
10259,Belfrayden,12,1051,NSW,3417
10260,Belgravia,124,1071,NSW,3708
10261,Belimbla Park,576,964,NSW,1542
10262,Bell (NSW),44,1043,NSW,3273
10263,Bella Vista,8384,1141,NSW,4159
10264,Bellambi,4039,917,NSW,724
10265,Bellangry,114,952,NSW,1338
10266,Bellata,266,988,NSW,2043
10267,Bellawongarah,116,1243,NSW,4318
10268,Bellbird,2338,850,NSW,115
10269,Bellbird Heights,805,885,NSW,325
10270,Bellbrook,339,957,NSW,1415
10271,Bellevue Hill,10590,1194,NSW,4291
10272,Bellimbopinni,82,910,NSW,592
10273,Bellingen,3923,1025,NSW,2900
10274,Bellmount Forest,120,1041,NSW,3241
10275,Belltrees,37,1011,NSW,2561
10276,Belmont (NSW),7289,945,NSW,1188
10277,Belmont North,6291,941,NSW,1120
10278,Belmont South,1053,872,NSW,228
10279,Belmore,13781,992,NSW,2120
10280,Belmore River,268,921,NSW,775
10281,Beloka,20,993,NSW,2142
10282,Belowra,5,993,NSW,2125
10283,Belrose,8726,1100,NSW,3954
10284,Bemboka,589,915,NSW,677
10285,Ben Bullen,71,922,NSW,802
10286,Ben Lomond (NSW),135,1045,NSW,3294
10287,Benandarah,165,951,NSW,1319
10288,Bendalong,135,977,NSW,1785
10289,Bendemeer,486,889,NSW,355
10290,Bendick Murrell,143,960,NSW,1481
10291,Bendolba,253,903,NSW,505
10292,Bendoura,108,1051,NSW,3403
10293,Benerembah,140,1014,NSW,2670
10294,Bengalla,16,884,NSW,312
10296,Benolong,76,1017,NSW,2753
10297,Bensville,2500,1029,NSW,3002
10298,Bentley (NSW),225,953,NSW,1359
10299,Berala,8757,962,NSW,1505
10300,Berambing,104,1053,NSW,3448
10301,Beresfield,3267,848,NSW,107
10302,Bergalia,180,970,NSW,1639
10303,Berkeley,7798,873,NSW,231
10304,Berkeley Vale,8951,948,NSW,1251
10305,Berkshire Park,2149,896,NSW,416
10307,Bermagui,1865,969,NSW,1630
10308,Berowra,4762,1100,NSW,3960
10309,Berowra Heights,5286,1080,NSW,3798
10310,Berowra Waters,169,1088,NSW,3874
10311,Berrambool,486,943,NSW,1156
10312,Berrara,333,1012,NSW,2630
10313,Berremangra,87,1012,NSW,2605
10314,Berrico,33,981,NSW,1874
10315,Berridale,1300,962,NSW,1498
10316,Berrigal,39,973,NSW,1719
10317,Berrigan,1264,891,NSW,370
10318,Berrilee,212,1107,NSW,4012
10319,Berrima,813,1102,NSW,3988
10320,Berringer Lake,30,977,NSW,1786
10321,Berry,3098,1062,NSW,3575
10322,Berry Jerry,82,1079,NSW,3788
10323,Berry Mountain,29,1243,NSW,4319
10324,Berry Park,182,959,NSW,1454
10325,Berthong,65,1031,NSW,3035
10326,Beryl,117,971,NSW,1683
10327,Bethungra,137,1038,NSW,3163
10328,Bevendale,45,1043,NSW,3270
10329,Beverley Park,2646,1063,NSW,3589
10330,Beverly Hills,10483,1043,NSW,3277
10331,Bewong,80,929,NSW,915
10332,Bexhill,528,1013,NSW,2643
10333,Bexley,19646,1027,NSW,2959
10334,Bexley North,4281,1058,NSW,3518
10335,Biala,84,1045,NSW,3300
10336,Bibbenluke,82,938,NSW,1075
10337,Biddon,123,1044,NSW,3290
10338,Bidgeemia,32,1102,NSW,3972
10339,Bidwill (NSW),4202,788,NSW,10
10340,Bielsdown Hills,104,1029,NSW,3001
10341,Big Hill (NSW),78,1020,NSW,2811
10342,Big Jacks Creek,61,1017,NSW,2731
10343,Big Ridge,16,927,NSW,886
10344,Big Springs,135,1090,NSW,3889
10345,Bigga,268,1013,NSW,2650
10346,Bilambil,441,951,NSW,1305
10347,Bilambil Heights,3491,976,NSW,1773
10348,Bilbul,586,952,NSW,1334
10349,Bilgola Beach,251,1177,NSW,4249
10350,Bilgola Plateau,3650,1133,NSW,4132
10351,Billeroy,31,1128,NSW,4113
10352,Billilingra,7,980,NSW,1863
10353,Billimari,117,1011,NSW,2590
10354,Billinudgel,261,1000,NSW,2277
10355,Billys Creek,79,965,NSW,1545
10356,Billywillinga,196,983,NSW,1916
10357,Bilpin,653,1025,NSW,2899
10359,Bimbi,71,1014,NSW,2656
10360,Bimbimbie,113,931,NSW,966
10361,Binalong,550,1037,NSW,3156
10362,Binda,291,1024,NSW,2888
10363,Bindera,32,981,NSW,1875
10364,Bingara,1318,872,NSW,223
10365,Bingeebeebra Creek,39,938,NSW,1069
10366,Bingie,205,1010,NSW,2545
10367,Bingleburra,36,1015,NSW,2701
10368,Biniguy,159,973,NSW,1720
10369,Binjura,339,1010,NSW,2551
10370,Binna Burra (NSW),223,1079,NSW,3787
10371,Binnaway,658,893,NSW,392
10372,Binya,122,1081,NSW,3804
10373,Birchgrove,3228,1198,NSW,4300
10374,Birdwood (NSW),34,952,NSW,1341
10375,Birganbigil,59,1007,NSW,2491
10376,Birmingham Gardens,2598,983,NSW,1910
10377,Birriwa,45,971,NSW,1681
10378,Birrong,3331,975,NSW,1750
10379,Bishops Bridge,218,944,NSW,1184
10380,Bithramere,163,1017,NSW,2742
10381,Black Creek (Port Macquarie-Hastings - NSW),47,979,NSW,1839
10382,Black Creek (Snowy Valleys - NSW),16,1040,NSW,3202
10383,Black Head,972,986,NSW,2003
10384,Black Hill (NSW),516,1043,NSW,3269
10385,Black Hollow,11,1088,NSW,3864
10386,Black Mountain (NSW),291,1071,NSW,3713
10387,Black Range (NSW),230,936,NSW,1053
10388,Black Springs (NSW),227,1014,NSW,2679
10389,Blackalls Park,2812,917,NSW,714
10390,Blackbutt (NSW),3291,945,NSW,1197
10391,Blackett,3586,814,NSW,36
10392,Blackheath,4672,1072,NSW,3725
10393,Blackmans Flat,22,978,NSW,1821
10394,Blackmans Point,178,899,NSW,460
10395,Blacksmiths,1881,901,NSW,477
10396,Blacktown,50961,970,NSW,1638
10397,Blackville,128,988,NSW,2030
10398,Blackwall (NSW),1941,977,NSW,1790
10399,Blair Athol (NSW),2725,994,NSW,2153
10400,Blairmount,409,929,NSW,914
10401,Blakebrook,132,952,NSW,1328
10402,Blakehurst,6652,1098,NSW,3939
10403,Blakney Creek,92,1043,NSW,3271
10404,Bland,61,1006,NSW,2466
10405,Blandford,205,1002,NSW,2327
10406,Blaxland (NSW),7434,1070,NSW,3689
10407,Blaxlands Creek,113,955,NSW,1386
10408,Blaxlands Ridge,589,976,NSW,1768
10409,Blayney,3448,873,NSW,242
10410,Bligh Park,6220,935,NSW,1028
10411,Blighty,192,1065,NSW,3628
10412,Blowering,3,1002,NSW,2335
10413,Blue Bay,1060,994,NSW,2154
10414,Blue Haven,6563,865,NSW,182
10415,Blue Knob,210,991,NSW,2098
10417,Blue Nobby,25,1025,NSW,2912
10418,Blue Vale,81,1048,NSW,3360
10419,Blueys Beach,242,1021,NSW,2840
10420,Boambee,1770,1012,NSW,2603
10421,Boambee East,5304,925,NSW,866
10422,Boambolo,79,1086,NSW,3852
10423,Boat Harbour (Lismore - NSW),19,1059,NSW,3532
10424,Boat Harbour (Port Stephens - NSW),993,1018,NSW,2782
10425,Bobadah,30,1009,NSW,2520
10426,Bobin,141,1023,NSW,2863
10427,Bobs Creek,119,971,NSW,1677
10428,Bobs Farm,662,903,NSW,510
10429,Bobundara,27,1126,NSW,4103
10430,Boco,16,1031,NSW,3043
10431,Bocoble,132,892,NSW,376
10432,Bocobra,60,971,NSW,1665
10433,Bodalla,808,929,NSW,932
10434,Bodangora,74,1067,NSW,3648
10435,Boeill Creek,89,1004,NSW,2388
10436,Bogan,44,1054,NSW,3460
10437,Bogan Gate,269,996,NSW,2207
10438,Bogangar,3313,994,NSW,2150
10439,Bogee,82,975,NSW,1743
10440,Boggabilla,1022,857,NSW,150
10441,Boggabri,1203,837,NSW,75
10443,Bohena Creek,214,947,NSW,1236
10444,Bohnock,83,911,NSW,604
10445,Bolaro,31,1124,NSW,4092
10446,Bolivia,74,1017,NSW,2759
10447,Bolong,94,1030,NSW,3022
10448,Bolton Point,2124,907,NSW,551
10449,Bolwarra (NSW),1350,1017,NSW,2746
10450,Bolwarra Heights,3436,1026,NSW,2924
10452,Bomaderry,6738,912,NSW,639
10453,Bombah Point,24,1009,NSW,2527
10454,Bombala,1372,899,NSW,464
10455,Bombay,142,1051,NSW,3404
10456,Bombira,504,1042,NSW,3252
10457,Bombo,175,1018,NSW,2763
10458,Bombowlee,291,973,NSW,1709
10459,Bombowlee Creek,52,946,NSW,1210
10460,Bomen,40,1056,NSW,3492
10461,Bonalbo,338,874,NSW,248
10462,Bondi,10411,1163,NSW,4217
10463,Bondi Beach,11513,1170,NSW,4232
10465,Bondi Junction,10361,1150,NSW,4187
10466,Bonnells Bay,4066,939,NSW,1091
10467,Bonnet Bay,2238,1116,NSW,4064
10468,Bonny Hills,3045,982,NSW,1889
10469,Bonnyrigg,9785,917,NSW,705
10470,Bonnyrigg Heights,7369,952,NSW,1323
10471,Bonshaw (NSW),133,1033,NSW,3094
10472,Bonville,2939,985,NSW,1969
10473,Booerie Creek,130,952,NSW,1329
10474,Book Book,130,1073,NSW,3748
10475,Booker Bay,1442,993,NSW,2146
10476,Bookham,127,1058,NSW,3520
10479,Boolambayte,85,1009,NSW,2525
10480,Boolaroo,1636,933,NSW,1000
10481,Boolcarroll,25,1064,NSW,3609
10482,Booligal,98,1046,NSW,3330
10484,Boomanoomana,116,1103,NSW,3996
10485,Boomerang Beach,423,1021,NSW,2841
10486,Boomey,88,1080,NSW,3799
10487,Boomi,207,1016,NSW,2719
10488,Boomi Creek,14,952,NSW,1325
10489,Boona Mount,46,1069,NSW,3677
10490,Boonal,51,1057,NSW,3501
10491,Boonoo Boonoo,19,1001,NSW,2316
10492,Boorabee Park,146,944,NSW,1180
10493,Booragul,1623,907,NSW,557
10494,Booral (NSW),457,967,NSW,1575
10495,Boorga,27,1010,NSW,2552
10496,Boorganna,24,978,NSW,1819
10497,Boorolong,71,1082,NSW,3817
10498,Boorook,20,1001,NSW,2319
10499,Boorooma,1741,1085,NSW,3842
10500,Booroorban,36,1037,NSW,3154
10501,Boorowa,1888,962,NSW,1518
10502,Bootawa,174,979,NSW,1828
10504,Booyong,84,1061,NSW,3568
10505,Bora Ridge,107,927,NSW,882
10506,Borah Creek,22,1012,NSW,2621
10507,Borambola,117,994,NSW,2157
10509,Boree,93,1110,NSW,4035
10510,Boree Creek,204,985,NSW,1988
10511,Borenore,476,1049,NSW,3376
10512,Boro,97,1041,NSW,3246
10513,Bossley Park,15492,942,NSW,1134
10514,Bostobrick,132,942,NSW,1135
10515,Botany,12960,1060,NSW,3564
10516,Botobolar,131,909,NSW,573
10517,Bottle Creek,42,968,NSW,1593
10519,Bourbah,42,1103,NSW,3995
10520,Bourke,1699,961,NSW,1496
10521,Bourkelands,3113,1034,NSW,3113
10522,Bournda,127,949,NSW,1269
10523,Bournewood,60,1033,NSW,3099
10524,Bow Bowing,1606,959,NSW,1453
10525,Bowan Park,106,1110,NSW,4036
10526,Bowen Mountain,1609,1007,NSW,2496
10527,Bowenfels,2049,806,NSW,23
10528,Bowling Alley Point,21,978,NSW,1811
10529,Bowman,139,1003,NSW,2374
10530,Bowman Farm,41,1003,NSW,2386
10531,Bowmans Creek,17,921,NSW,787
10532,Bowna,115,1072,NSW,3728
10533,Bowning,619,1020,NSW,2821
10534,Bowral,10764,1072,NSW,3727
10535,Bowraville,1157,841,NSW,89
10537,Box Hill (NSW),6450,1097,NSW,3932
10538,Boxers Creek,259,943,NSW,1153
10539,Boydtown,75,920,NSW,761
10540,Bradbury (NSW),9433,922,NSW,800
10541,Braefield,64,1005,NSW,2428
10542,Braemar,966,994,NSW,2166
10543,Braemar Bay,16,1026,NSW,2926
10544,Braidwood,1720,1008,NSW,2518
10545,Brandy Hill,713,984,NSW,1929
10546,Branxton,2255,935,NSW,1035
10547,Braunstone,284,895,NSW,401
10548,Brawboy,18,936,NSW,1038
10549,Bray Park (NSW),822,882,NSW,289
10550,Brays Creek,119,965,NSW,1561
10551,Brayton,208,980,NSW,1857
10552,Breadalbane (NSW),107,1045,NSW,3301
10553,Breakfast Creek,44,984,NSW,1945
10554,Breakfast Point,4678,1156,NSW,4202
10555,Bream Beach,9,1005,NSW,2437
10556,Bredbo,392,948,NSW,1246
10557,Breelong,85,1044,NSW,3291
10558,Breeza,124,1017,NSW,2740
10559,Bretti,24,1003,NSW,2375
10560,Brewarrina,931,916,NSW,701
10561,Brewongle,151,921,NSW,785
10562,Briarbrook,19,934,NSW,1019
10563,Bribbaree,144,978,NSW,1816
10564,Bridgman,242,929,NSW,933
10565,Brierfield,322,1041,NSW,3237
10566,Brighton-Le-Sands,8336,1034,NSW,3115
10567,Brightwaters,875,976,NSW,1765
10569,Brimbin,75,897,NSW,434
10570,Brindabella,24,1002,NSW,2336
10572,Bringelly,2433,934,NSW,1014
10573,Bringenbrong,48,1091,NSW,3897
10574,Brisbane Grove,147,960,NSW,1478
10575,Broadmeadow,1688,1019,NSW,2798
10576,Broadwater (Bega Valley - NSW),148,928,NSW,899
10577,Broadwater (Richmond Valley - NSW),670,887,NSW,331
10578,Broadway,63,1043,NSW,3272
10579,Brobenah,12,1022,NSW,2851
10580,Brocklehurst,308,909,NSW,576
10581,Brocklesby,218,963,NSW,1526
10582,Brockley,51,1042,NSW,3255
10583,Brodies Plains,56,992,NSW,2110
10584,Brogans Creek,4,898,NSW,442
10585,Brogers Creek,49,1129,NSW,4118
10586,Brogo,581,962,NSW,1511
10587,Broke (NSW),557,922,NSW,808
10588,Broken Head,385,1117,NSW,4070
10589,Broken Hill,17706,888,NSW,347
10590,Brombin,127,938,NSW,1084
10591,Bronte,7166,1186,NSW,4269
10592,Brookdale (NSW),50,1051,NSW,3418
10593,Brookfield (NSW),224,983,NSW,1924
10594,Brooklana,42,959,NSW,1459
10595,Brooklet,253,1072,NSW,3726
10596,Brooklyn (NSW),737,1050,NSW,3397
10597,Brookong,21,1102,NSW,3973
10598,Brookvale,3389,1057,NSW,3510
10599,Brooman,26,990,NSW,2090
10600,Brooms Head,271,1012,NSW,2598
10601,Broughams Gate,34,1084,NSW,3824
10602,Broughton (NSW),85,1129,NSW,4119
10603,Broughton Vale,180,1129,NSW,4120
10604,Broughton Village,95,1076,NSW,3771
10605,Broulee,1947,1035,NSW,3138
10606,Brownlow Hill,384,1019,NSW,2793
10607,Browns Creek,120,1040,NSW,3191
10608,Browns Mountain,20,1066,NSW,3637
10609,Brownsville,524,883,NSW,298
10610,Brucedale,184,1084,NSW,3828
10611,Bruie Plains,28,1029,NSW,2999
10612,Bruinbun,34,1033,NSW,3086
10614,Brundee,49,971,NSW,1655
10615,Brungle,146,946,NSW,1215
10616,Brungle Creek,28,946,NSW,1211
10617,Brunkerville,216,1025,NSW,2902
10618,Brunswick Heads,1905,997,NSW,2209
10619,Brushgrove,181,936,NSW,1045
10620,Brushy Creek,37,1082,NSW,3818
10622,Bucca (NSW),614,948,NSW,1260
10623,Bucca Wauka,80,962,NSW,1515
10624,Buccarumbi,30,936,NSW,1048
10625,Buchanan (NSW),212,997,NSW,2222
10626,Buckajo,322,976,NSW,1761
10627,Buckaroo,138,998,NSW,2230
10628,Buckenbowra,16,917,NSW,708
10629,Buckenderra,21,1026,NSW,2927
10630,Buckendoon,48,942,NSW,1148
10631,Bucketty,165,1028,NSW,2987
10632,Buckra Bendinni,123,958,NSW,1445
10633,Budawang,29,972,NSW,1689
10634,Buddabadah,40,1052,NSW,3426
10635,Budden,16,984,NSW,1946
10638,Budgee Budgee (NSW),241,1031,NSW,3030
10639,Budgewoi,3497,912,NSW,638
10641,Budgong,87,1066,NSW,3638
10642,Buff Point,3559,898,NSW,441
10643,Bugaldie,162,1098,NSW,3946
10644,Bukalong,8,1031,NSW,3044
10645,Bukkulla,149,1024,NSW,2889
10646,Bulahdelah,1538,843,NSW,95
10648,Bulga (NSW),418,891,NSW,367
10649,Bulga Forest,5,994,NSW,2159
10650,Bulgary,13,1051,NSW,3399
10652,Bulla Creek,49,987,NSW,2014
10653,Bullaburra,1300,1076,NSW,3770
10654,Bullagreen,44,1106,NSW,4006
10655,Bullarah,103,1064,NSW,3616
10656,Bullatale,41,999,NSW,2268
10657,Bullawa Creek,130,922,NSW,810
10658,Bulldog,15,947,NSW,1227
10659,Bulli,6798,1073,NSW,3740
10660,Bulliac,44,929,NSW,926
10661,Bullio,79,1058,NSW,3513
10662,Bulyeroi,28,1064,NSW,3610
10663,Bumbaldry,107,1039,NSW,3177
10664,Bumbalong,3,1051,NSW,3424
10665,Bundabah,140,949,NSW,1270
10666,Bundagen,96,1054,NSW,3463
10667,Bundanoon (NSW),2869,1032,NSW,3081
10668,Bundarra,674,914,NSW,670
10669,Bundeena,2103,1071,NSW,3704
10670,Bundella,53,1029,NSW,3005
10671,Bundemar,38,1141,NSW,4162
10672,Bundewallah,34,1243,NSW,4320
10673,Bundook,114,929,NSW,925
10674,Bundure,17,1074,NSW,3754
10675,Bungaba,88,839,NSW,81
10676,Bungabbee,3,971,NSW,1672
