2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
20736,Denison,453,984,VIC,1078
20737,Dennington,1994,923,VIC,295
20738,Denver,148,1045,VIC,2129
20740,Derby,18,1093,VIC,2617
20741,Dereel,664,909,VIC,192
20742,Dergholm,57,985,VIC,1091
20743,Derrimut,8651,993,VIC,1254
20744,Derrinal,99,991,VIC,1210
20745,Derrinallum,386,951,VIC,615
20746,Devenish,208,992,VIC,1221
20747,Devils River,14,968,VIC,878
20748,Devon Meadows,1551,917,VIC,249
20749,Devon North,352,967,VIC,870
20750,Dewhurst,151,1051,VIC,2203
20751,Dhurringile,369,927,VIC,325
20752,Diamond Creek,12503,1049,VIC,2174
20753,Digby,122,1024,VIC,1832
20754,Diggers Rest,5669,973,VIC,952
20755,Diggora,78,1055,VIC,2284
20756,Dimboola,1635,906,VIC,181
20757,Dingee,195,1060,VIC,2327
20758,Dingley Village,10495,1021,VIC,1779
20759,Dingwall,99,1015,VIC,1669
20760,Dinner Plain,128,1020,VIC,1755
20761,Dixie,148,1003,VIC,1436
20762,Dixons Creek,344,1036,VIC,2024
20763,Dobie,33,1008,VIC,1540
20764,Docker,106,989,VIC,1176
20765,Dockers Plains,59,970,VIC,902
20766,Docklands,15495,1160,VIC,2800
20767,Doctors Flat,13,1015,VIC,1666
20768,Dollar,61,985,VIC,1098
20769,Don Valley,586,950,VIC,585
20770,Donald,1472,906,VIC,178
20771,Doncaster,25020,1084,VIC,2559
20772,Doncaster East,30926,1075,VIC,2485
20773,Donnybrook,2100,1029,VIC,1904
20774,Donvale,12644,1083,VIC,2547
20775,Dooboobetic,13,1037,VIC,2033
20776,Dooen,250,982,VIC,1049
20777,Dookie,333,981,VIC,1044
20778,Dookie College,51,1061,VIC,2340
20779,Doreen,27122,1011,VIC,1602
20780,Dorodong,21,977,VIC,1002
20782,Douglas,74,1075,VIC,2489
20783,Doveton,9603,895,VIC,132
20784,Dreeite,77,999,VIC,1368
20785,Dreeite South,28,999,VIC,1369
20786,Driffield,101,946,VIC,536
20787,Drik Drik,46,1000,VIC,1387
20788,Dromana,6626,982,VIC,1056
20789,Dropmore,19,1061,VIC,2347
20790,Drouin,15287,931,VIC,353
20791,Drouin East,177,1008,VIC,1529
20792,Drouin South,343,990,VIC,1196
20793,Drouin West,361,1017,VIC,1687
20794,Drumanure,41,939,VIC,440
20795,Drumborg,160,1000,VIC,1388
20796,Drumcondra,571,1096,VIC,2637
20797,Drummartin,42,994,VIC,1296
20798,Drummond,294,1069,VIC,2414
